Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,186,What is the standard vertical separation minimum below FL290?,"1,000 ft","2,000 ft","1,500 ft",500 ft,1,SUP
,187,"Above FL290 up to FL410, the standard vertical separation is:","1,000 ft in RVSM airspace and 2,000 ft outside RVSM","2,000 ft in RVSM and 4,000 ft outside RVSM","1,000 ft in RVSM and 2,000 ft outside RVSM","1,000 ft in all airspace",1,SUP
,188,Separation at same fix but different levels:,"1,500 ft","1,000 ft","2,000 ft","Maintain the prescribed vertical separation minimum, normally 1,000 ft",4,SUP
,189,Separation of arrivals/departures may be reduced when:,Issue traffic information and ensure both pilots agree and can maintain visual separation,Wake turbulence categories and the leader-follower sequence or phase of flight,"Visual contact and runway conditions allow it, and approved reduced-separation procedures are applied","Generally smaller than procedural separation, but only where approved",3,SUP
,190,Wake turbulence longitudinal separation minima are based on:,Wake turbulence categories and the leader-follower sequence or phase of flight,"Visual contact and runway conditions allow it, and approved reduced-separation procedures are applied","1,000 ft in RVSM airspace and 2,000 ft outside RVSM",3 NM where specifically authorized in terminal airspace; otherwise typically 5 NM,1,SUP
,191,"When pilots accept own separation in VMC, ATC must:",Normally 10 minutes before and after the estimated passing time on reciprocal tracks when no lateral separation exists,Clear responsibility and safe continuity of control,Issue traffic information and ensure both pilots agree and can maintain visual separation,"Visual contact and runway conditions allow it, and approved reduced-separation procedures are applied",3,SUP
,192,Reduction in separation minima may be permitted when:,"The appropriate ATS authority has approved it after a safety assessment and the required surveillance, equipment and procedures are available",Diagonal separation,"Generally smaller than procedural separation, but only where approved","1,000 ft in RVSM airspace and 2,000 ft outside RVSM",1,SUP
,193,Separation minima on reciprocal tracks?,Normally 10 minutes before and after the estimated passing time on reciprocal tracks when no lateral separation exists,20 minutes before and after,5 minutes before and after,10 minutes before and after,1,SUP
,194,Horizontal separation minima depend on:,Clear responsibility and safe continuity of control,Normally 10 minutes before and after the estimated passing time on reciprocal tracks when no lateral separation exists,"Navigation method, track geometry and position-reporting or navigation accuracy",3 NM where specifically authorized in terminal airspace; otherwise typically 5 NM,3,SUP
,195,Which is NOT a recognized separation method?,Diagonal separation,Normally 10 minutes before and after the estimated passing time on reciprocal tracks when no lateral separation exists,Wake turbulence categories and the leader-follower sequence or phase of flight,3 NM where specifically authorized in terminal airspace; otherwise typically 5 NM,1,SUP
,196,Radar separation standards compared to procedural:,"Navigation method, track geometry and position-reporting or navigation accuracy",Issue traffic information and ensure both pilots agree and can maintain visual separation,"Generally smaller than procedural separation, but only where approved",Wake turbulence categories and the leader-follower sequence or phase of flight,3,SUP
,197,Minimum radar separation in terminal areas?,3 NM where specifically authorized in terminal airspace; otherwise typically 5 NM,2 NM,3 NM where authorized; otherwise typically 5 NM,5 NM in all cases,1,SUP
,198,What phrase must pilots use to acknowledge radar vectors?,Separation and terrain or obstacle clearance until the aircraft resumes own navigation,Read back the assigned heading,A predicted or coasted track after actual surveillance updates are temporarily lost,Using ATS surveillance to observe an aircraft’s flight path and compliance without necessarily vectoring it,2,SUP
,199,"In case of radar failure, ATC should:",Band all traffic back to the procedural controller immediately,Do his best to provide procedural separation for the aircraft under his control and then hand them back to the procedural controller.,Tell all aircraft under hid control to standby to ask the radio technician to take immediate action to repair the radar,Continue to control his traffic by asking the resume own navigation,2,SUP
,200,ATS surveillance monitoring ensures:,A predicted or coasted track after actual surveillance updates are temporarily lost,Navigate using own means in accordance with the current clearance to the specified route or fix,Emergency,"Aircraft are identified, comply with clearances and conflicts or deviations are detected",4,SUP
,201,What is “radar monitoring”?,Separation and terrain or obstacle clearance until the aircraft resumes own navigation,Detect deviations toward or into the no-transgression zone and issue timely action,Using ATS surveillance to observe an aircraft’s flight path and compliance without necessarily vectoring it,"Permit continuation under specified restrictions using primary radar or procedural separation, or require repair or delay",3,SUP
,202,Radar separation minima depend on:,"Surveillance accuracy, update rate, coverage, communications and the approved local standard",Emergency,"Aircraft are identified, comply with clearances and conflicts or deviations are detected",A predicted or coasted track after actual surveillance updates are temporarily lost,1,SUP
,203,"When applying vectoring, ATC must ensure:",Using ATS surveillance to observe an aircraft’s flight path and compliance without necessarily vectoring it,Navigate using own means in accordance with the current clearance to the specified route or fix,Separation and terrain or obstacle clearance until the aircraft resumes own navigation,A predicted or coasted track after actual surveillance updates are temporarily lost,3,SUP
,204,What is “SSR code 7700”?,Radio communication failure,VFR operation,Emergency,Unlawful interference,3,SUP
,205,Radar monitoring of parallel approaches is used to:,A predicted or coasted track after actual surveillance updates are temporarily lost,Emergency,"Surveillance accuracy, update rate, coverage, communications and the approved local standard",Detect deviations toward or into the no-transgression zone and issue timely action,4,SUP
,206,What must pilots do when instructed to “resume own navigation”?,Detect deviations toward or into the no-transgression zone and issue timely action,"Aircraft are identified, comply with clearances and conflicts or deviations are detected",Read back the assigned heading,Navigate using own means in accordance with the current clearance to the specified route or fix,4,SUP
,207,"When a transponder is unserviceable, ATC may:",Aerodrome control service,Detect deviations toward or into the no-transgression zone and issue timely action,"Permit continuation under specified restrictions using primary radar or procedural separation, or require repair or delay","Aircraft are identified, comply with clearances and conflicts or deviations are detected",3,SUP
,208,What does the term “coast” indicate on a radar display?,Using ATS surveillance to observe an aircraft’s flight path and compliance without necessarily vectoring it,Separation and terrain or obstacle clearance until the aircraft resumes own navigation,Detect deviations toward or into the no-transgression zone and issue timely action,A predicted or coasted track after actual surveillance updates are temporarily lost,4,SUP
,209,What is the primary purpose of coordination between ATC units?,Advise the transferring unit and coordinate alternative conditions or clearance,"Aircraft identification, current flight-plan and control data, position or estimate, level, route or clearance, SSR code and other pertinent information","Acknowledge or accept, or immediately propose necessary amendments","Ensure safe, orderly and continuous transfer of control while maintaining separation",4,SUP
,210,Which of the following is NOT typically included in coordination messages?,"Passenger, catering or other commercial information","Aircraft identification, current flight-plan and control data, position or estimate, level, route or clearance, SSR code and other pertinent information","Ensure safe, orderly and continuous transfer of control while maintaining separation","Acknowledge or accept, or immediately propose necessary amendments",1,SUP
,211,What action should the accepting unit take upon receiving a coordination message?,Coordination and consent or acceptance by the accepting unit,"Passenger, catering or other commercial information","Aircraft identification, current flight-plan and control data, position or estimate, level, route or clearance, SSR code and other pertinent information","Acknowledge or accept, or immediately propose necessary amendments",4,SUP
,212,Under what circumstances may coordination be omitted?,Coordination and consent or acceptance by the accepting unit,Advise the transferring unit and coordinate alternative conditions or clearance,"Ensure safe, orderly and continuous transfer of control while maintaining separation",When prior agreements or letters of agreement establish automatic or standard transfer with no special coordination required,4,SUP
,213,What should be done if the accepting unit cannot accept the coordination as proposed?,Advise the transferring unit and coordinate alternative conditions or clearance,ICAO Doc 4444 plus the applicable Letter of Agreement or local ATS procedures,"Acknowledge or accept, or immediately propose necessary amendments",Coordination and consent or acceptance by the accepting unit,1,SUP
,214,Which document governs the procedures for coordination and transfer of control between ATC units?,ICAO Annex 2,ICAO Annex 11,ICAO Doc 4444 plus the applicable Letter of Agreement or local ATS procedures,Circular 29/2021/TT-BGTVT,3,SUP
,215,What must coordination include when transferring an aircraft?,When prior agreements or letters of agreement establish automatic or standard transfer with no special coordination required,"Acknowledge or accept, or immediately propose necessary amendments",Advise the transferring unit and coordinate alternative conditions or clearance,"Aircraft identification, current flight-plan and control data, position or estimate, level, route or clearance, SSR code and other pertinent information",4,SUP
,216,What is required before transfer of control between ATC units can occur?,"Acknowledge or accept, or immediately propose necessary amendments","Ensure safe, orderly and continuous transfer of control while maintaining separation",Coordination and consent or acceptance by the accepting unit,ICAO Doc 4444 plus the applicable Letter of Agreement or local ATS procedures,3,SUP
,217,When shall an aircraft making a radar approach be reminded to check that the wheels are down and locked?,At 2 NM from touchdown,Only after landing clearance,"On final approach, normally when approaching about 8 NM from touchdown","On final approach, normally near 8 NM from touchdown",3,SUP
,218,"Prior to, or upon commencement of, vectoring for approach, what shall be specified to the pilot?",As required by the appropriate ATS authority and at compulsory reporting points,"Correct, except where specifically authorized by the appropriate ATS authority",The type of approach and runway to be used,Only when authorized and conducted without hazard,3,SUP
,219,An aircraft vectored to intercept a pilot-interpreted final approach aid shall be instructed to:,At a speed that provides adequate opportunity to observe traffic and obstacles and avoid collision,"Separation, C2-link reliability, detect-and-avoid capability, contingency procedures and controller workload",Report established on the final approach track or final approach aid,"Correct, except where specifically authorized by the appropriate ATS authority",3,SUP
,220,Significant changes to a current flight plan shall be reported to the appropriate ATS unit:,"Separation, C2-link reliability, detect-and-avoid capability, contingency procedures and controller workload","At or above 10,000 ft: 8 km; below 3,000 ft or 1,000 ft AGL: normally 5 km",Subject to authorization and without hazard to other traffic,As soon as practicable,4,SUP
,221,"When a controlled flight experiences radio communication failure, the pilot shall:",At a speed that provides adequate opportunity to observe traffic and obstacles and avoid collision,The type of approach and runway to be used,Squawk 7600 and follow the published radio communication failure procedures,"5 km flight visibility, with 1,500 m horizontal and 1,000 ft vertical cloud clearance",3,SUP
,222,Minimum VMC flight visibility at or above 10 000 ft AMSL for VFR is:,5 km,10 km,15 km,8 km,4,SUP
,223,Distance from cloud for VFR at or above 10 000 ft AMSL is:,"1,500 m horizontally and 1,000 ft vertically from cloud","2,000 m horizontally and 1,500 ft vertically","1,000 m horizontally and 500 ft vertically",Clear of cloud only,1,SUP
,224,"Within a control zone (CTR), a Special VFR flight may be authorized to operate:","5 km flight visibility, with 1,500 m horizontal and 1,000 ft vertical cloud clearance","With ATC clearance, clear of cloud, required visibility and visual reference to the surface",Class E,Class A,2,SUP
,225,VFR flights shall not be operated in Class A airspace:,"Correct, except where specifically authorized by the appropriate ATS authority",Class B,Class C,Class F,1,SUP
,226,"For VFR flights below 3 050 m (10 000 ft) and above 900 m (3 000 ft) AMSL or 300 m (1 000 ft) AGL, whichever higher, the minimum flight visibility is:",5 NM,"5 km flight visibility, with 1,500 m horizontal and 1,000 ft vertical cloud clearance","1,200 m",8 NM,2,SUP
,227,"For VFR flights at and above 3 050 M (10 000 FT) AMSL. and below 900 m (3 000 ft) AMSL or 300 m (1 000 ft) AGL, in airspace Classes C/D/E/G, minimum flight visibility is:",8 NM,500 ft,"At or above 10,000 ft: 8 km; below 3,000 ft or 1,000 ft AGL: normally 5 km",5 km,3,SUP
,228,"Helicopters operating VFR may be permitted operate in less than 1 500 M flight visibility, if fly with a flight visibility and clear of cloud lower than fixed-wing minima when:",METAR,At a speed that provides adequate opportunity to observe traffic and obstacles and avoid collision,"When permitted by the State or appropriate authority and the prescribed equipment, weather and ATC requirements are met",TAF,2,SUP
,229,Night VFR operations are permitted:,"With ATC clearance, clear of cloud, required visibility and visual reference to the surface","5 km flight visibility, with 1,500 m horizontal and 1,000 ft vertical cloud clearance",Subject to authorization and without hazard to other traffic,"When permitted by the State or appropriate authority and the prescribed equipment, weather and ATC requirements are met",4,SUP
,230,A VFR flight shall maintain continuous listening watch on the appropriate frequency and report position:,"When permitted by the State or appropriate authority and the prescribed equipment, weather and ATC requirements are met",Squawk 7600 and follow the published radio communication failure procedures,8 km,As required by the appropriate ATS authority and at compulsory reporting points,4,SUP
,231,Parachute descents are:,"When permitted by the State or appropriate authority and the prescribed equipment, weather and ATC requirements are met","Correct, except where specifically authorized by the appropriate ATS authority",Only when authorized and conducted without hazard,Report established on the final approach track or final approach aid,3,SUP
,232,Balloon or airship operations:,Only when authorized and conducted without hazard,"1,500 m horizontally and 1,000 ft vertically from cloud",Subject to authorization and without hazard to other traffic,Report established on the final approach track or final approach aid,3,SUP
,233,Aircraft over the high seas shall comply with:,Report established on the final approach track or final approach aid,ICAO Annex 2 Rules of the Air,"5 km flight visibility, with 1,500 m horizontal and 1,000 ft vertical cloud clearance","Correct, except where specifically authorized by the appropriate ATS authority",2,SUP
,234,"When integrating RPAS into controlled airspace, what must ATC primarily consider?",As required by the appropriate ATS authority and at compulsory reporting points,As soon as practicable,"Separation, C2-link reliability, detect-and-avoid capability, contingency procedures and controller workload",Prohibited area,3,SUP
,235,Why must ATCOs know aircraft wake turbulence category?,Terrain and obstacles while providing a safe path to rejoin the procedure or route,To apply the correct wake turbulence separation minima,"Safe separation and efficient sequencing based on position or ETA, runway, performance, wake category and priority",5 NM,2,SUP
,236,"According to ICAO Annex 14, what determines the required taxiway separation distance between aircraft?",To apply the correct wake turbulence separation minima,"Aerodrome reference code and aircraft dimensions, including wingspan and main-gear span, plus taxiway design and clearance criteria",10 NM,“LINE UP AND WAIT RUNWAY (number)”,2,SUP
,237,What is the typical maximum taxi speed recommended on apron areas?,150 m (492 ft),Terrain and obstacles while providing a safe path to rejoin the procedure or route,"About 10 kt, or the lower speed specified by local procedures",5 NM,3,SUP
,238,Which factor increases jet blast risk on aprons?,“LINE UP AND WAIT RUNWAY (number)”,The pilots have the relevant traffic in sight and can maintain visual separation under prescribed conditions,The published sector in which an aircraft may enter directly without a course-reversal manoeuvre,"High engine thrust, large aircraft, close spacing, confined areas or loose debris",4,SUP
,239,The direct-entry sector to a procedure turn/base turn is:,10 NM,"High engine thrust, large aircraft, close spacing, confined areas or loose debris",The published sector in which an aircraft may enter directly without a course-reversal manoeuvre,"ADS-B performance, integrity, accuracy, continuity, identification, procedures and regulatory approval are adequate",3,SUP
,240,The principal purpose of the intermediate approach segment is to:,"The natural surface of the Earth, including mountains, hills, valleys, water and permanent ice or snow",Terrain is the natural earth surface; obstacles are fixed or mobile objects extending above it or reference surfaces,"Align the aircraft with the final approach course, configure it and stabilize speed or descent for final approach","Aerodrome reference code and aircraft dimensions, including wingspan and main-gear span, plus taxiway design and clearance criteria",3,SUP
,241,Minimum obstacle clearance (MOC) in the intermediate segment (primary area) reduces to:,75 m (246 ft),300 m (984 ft),150 m (492 ft),"450 m (1,476 ft)",3,SUP
,242,The final approach segment is the segment in which:,10 NM,"ADS-B performance, integrity, accuracy, continuity, identification, procedures and regulatory approval are adequate","The aircraft is aligned and descends for landing, ending at a point from which landing or missed approach is initiated","A prominent, easily identifiable feature such as a river bend, lake, town or major road junction",3,SUP
,243,The maximum normal length of the final segment (FAF to MAPt) should not exceed:,10 NM,8 NM,5 NM,15 NM,1,SUP
,244,Which factor is most important in determining sequence for approach?,"A prominent, easily identifiable feature such as a river bend, lake, town or major road junction","The natural surface of the Earth, including mountains, hills, valleys, water and permanent ice or snow",10 NM,"Safe separation and efficient sequencing based on position or ETA, runway, performance, wake category and priority",4,SUP
,245,A missed approach procedure is designed to provide separation from:,Terrain and obstacles while providing a safe path to rejoin the procedure or route,5 NM,"Align the aircraft with the final approach course, configure it and stabilize speed or descent for final approach","A prominent, easily identifiable feature such as a river bend, lake, town or major road junction",1,SUP
,246,"If visual separation is used, what must the controller ensure?",“LINE UP AND WAIT RUNWAY (number)”,"The natural surface of the Earth, including mountains, hills, valleys, water and permanent ice or snow",The pilots have the relevant traffic in sight and can maintain visual separation under prescribed conditions,"Safe separation and efficient sequencing based on position or ETA, runway, performance, wake category and priority",3,SUP
,247,What is the minimum separation between a Heavy and a Medium aircraft on approach?,6 NM,3 NM,5 NM,4 NM,3,SUP
,248,The phraseology for instructing a pilot to line up on the runway is:,“LINE UP AND WAIT RUNWAY (number)”,"The aircraft is aligned and descends for landing, ending at a point from which landing or missed approach is initiated","The natural surface of the Earth, including mountains, hills, valleys, water and permanent ice or snow",The pilots have the relevant traffic in sight and can maintain visual separation under prescribed conditions,1,SUP
,249,Which type of landmark would most likely be used for VFR position reporting?,"A prominent, easily identifiable feature such as a river bend, lake, town or major road junction","High engine thrust, large aircraft, close spacing, confined areas or loose debris",“LINE UP AND WAIT RUNWAY (number)”,"Align the aircraft with the final approach course, configure it and stabilize speed or descent for final approach",1,SUP
,250,Why are prominent landmarks important in a radar environment?,“LINE UP AND WAIT RUNWAY (number)”,The pilots have the relevant traffic in sight and can maintain visual separation under prescribed conditions,"The aircraft is aligned and descends for landing, ending at a point from which landing or missed approach is initiated",They help verify aircraft position and improve pilot and controller situational awareness,4,SUP
,251,"According to ICAO Annex 15, what is the main distinction between terrain and obstacles?",Terrain is the natural earth surface; obstacles are fixed or mobile objects extending above it or reference surfaces,"The aircraft is aligned and descends for landing, ending at a point from which landing or missed approach is initiated",The pilots have the relevant traffic in sight and can maintain visual separation under prescribed conditions,"Buildings, towers or other man-made structures",1,SUP
,252,"According to ICAO Annex 15, how is terrain defined?","ADS-B performance, integrity, accuracy, continuity, identification, procedures and regulatory approval are adequate",5 NM,"The natural surface of the Earth, including mountains, hills, valleys, water and permanent ice or snow",Terrain and obstacles while providing a safe path to rejoin the procedure or route,3,SUP
,253,Which of the following is not considered part of terrain under ICAO?,"Align the aircraft with the final approach course, configure it and stabilize speed or descent for final approach","The aircraft is aligned and descends for landing, ending at a point from which landing or missed approach is initiated",5 NM,"Buildings, towers or other man-made structures",4,SUP
,254,"The approach sequence shall be established in a manner which will facilitate arrival of the maximum
number of aircraft with the least average delay. Priority shall be given to:","an aircraft which anticipates being compelled to land because of factors affecting the safe operation of the aircraft (engine failure, shortage of fuel, etc.);",hospital aircraft or aircraft carrying any sick or seriously injured person requiring urgent medical attention;,aircraft engaged in search and rescue operations; and other aircraft as may be determined by the appropriate authority.,All of above,4,SUP
,255,"ADS-B may be used alone, including in the provision of separation between aircraft, provided:",10 NM,"The natural surface of the Earth, including mountains, hills, valleys, water and permanent ice or snow",Terrain is the natural earth surface; obstacles are fixed or mobile objects extending above it or reference surfaces,"ADS-B performance, integrity, accuracy, continuity, identification, procedures and regulatory approval are adequate",4,SUP
,256,What is minimum sector altitude (MSA)?,The lowest altitude which may be used which will provide a minimum clearance of 300 m (1000 ft) above all objects located in an area contained within a sector of a circle of 46 km (25 NM) radius centered on a radio aid to navigation.,The lowest altitude which may be used which will provide a minimum clearance of 600 m (2000 ft) above all objects located in an area contained within a sector of a circle of 46 km (25 NM) radius centered on a radio aid to navigation.,The lowest altitude which may be used which will provide a minimum clearance of 300 m (1000 ft) above all objects located in an area contained within a sector of a circle of 55km (30 NM) radius centered on a radio aid to navigation.,The lowest altitude which may be used which will provide a minimum clearance of 300 m (1000 ft) above all objects located in an area contained within a sector of a circle of 28km (15 NM) radius centered on a radio aid to navigation.,1,SUP
,257,An IFR flight may be cleared to execute a visual approach provided the pilot can maintain visual reference to the terrain and:   ,the reported ceiling is at or above the level of the beginning of the initial approach segment for the aircraft so cleared; or,the pilot reports at the level of the beginning of the initial approach segment or,at any time during the instrument approach procedure that the meteorological conditions are such that with reasonable assurance a visual approach and landing can be completed.,All of above,4,SUP
,258,When must a pilot transmit an AIREP SPECIAL?,Only after landing at the destination,For every routine position report regardless of weather,"When hazardous conditions such as severe turbulence or icing, thunderstorms, volcanic ash or similar phenomena are encountered",Only when requested by the airline dispatcher,3,SUP
,259,What must ATS do upon receiving an AIREP SPECIAL?,Retain it locally until the end of the shift,Forward it only to the aircraft operator,Forward it without delay to the meteorological watch office and other aircraft or ATS units as appropriate,Convert it into a NOTAM before dissemination,3,SUP
,260,How does an AIREP differ from a PIREP?,There is no difference; both are runway inspection reports,AIREP is a ground report while PIREP is a satellite report,AIREP is the ICAO-standard air-report; PIREP is a nationally used term for a pilot weather report,AIREP is only for military flights while PIREP is only for civil flights,3,SUP
,261,The code +TSRA means:,Moderate thunderstorm with rain,Heavy thunderstorm with rain,Light thunderstorm with rain,Thunderstorm with rain,2,SUP
,262,"In METAR, BKN means:",Few cloud covering 1 to 2 oktas,Scattered cloud covering 3 to 4 oktas,Overcast cloud covering 8 oktas,Broken cloud covering 5 to 7 oktas,4,SUP
,263,A TAF is usually valid for:,6 or 9 hours,72 hours,"Normally 24 or 30 hours, depending on aerodrome and State procedures",12 hours only,3,SUP
,264,Unit issued METAR/TAF:,The aircraft operator only,The aerodrome control tower only,"The aerodrome meteorological office or station, or a designated aviation MET provider",The rescue coordination centre,3,SUP
,265,METAR/TAF are disseminated via:,Public social-media channels,AFTN or AMHS and approved OPMET dissemination systems or databases,Voice radio only,Postal or courier service,2,SUP
,266,A TAF contains:,Only search-and-rescue contact details,Only current NOTAM information,Only runway pavement condition,"Forecast surface wind, visibility, significant weather, cloud or vertical visibility and expected changes",4,SUP
,267,"In SAR operations, what does “rescue” mean?",Locate a missing aircraft without providing assistance,"Retrieve persons in distress, provide initial assistance and deliver them to a place of safety",Publish aeronautical information after the event,Issue an ATC clearance to the accident site,2,SUP
,268,"Upon receiving a distress signal, which authority is responsible for notifying the ARCC?",The ATS unit receiving the distress or alerting information,The aircraft operator only,The aeronautical information service,The aerodrome meteorological office,1,SUP
,269,In which situation is “MAYDAY” used?,Urgency without immediate danger,Routine operational inconvenience,Distress: grave and imminent danger requiring immediate assistance,Request for traffic information,3,SUP
,270,In which situation is “PAN PAN” used?,Cancellation of a flight plan,Routine position reporting,Grave and imminent danger requiring immediate assistance,Urgency: safety is involved but immediate assistance is not yet required,4,SUP
,271,When is an aircraft considered “missing” under ICAO SAR provisions?,Immediately after one missed position report,Only after wreckage has been located,Whenever the aircraft changes route,When overdue or missing after failed communication and search checks and the distress phase is declared,4,SUP
,272,What is the primary difference between an “accident” and an “incident”?,An accident is always intentional; an incident is always accidental,"An accident involves death or serious injury, substantial damage, or a missing or inaccessible aircraft; an incident affects or could affect safety but does not meet accident criteria",There is no regulatory distinction,An accident occurs only on the ground; an incident occurs only in flight,2,SUP
,273,Which authority is responsible for State-level organization of aviation SAR in Vietnam?,Civil Aviation Authority of Vietnam,Vietnam Air Traffic Management,Southern Region Air Traffic Service,Ministry of Defence,1,SUP
,274,Which phrase corresponds to the “distress signal” in radiotelephony?,ROGER,MAYDAY,PAN PAN,SECURITE,2,SUP
,275,Which ICAO Annex covers “Alerting Service” provided by ATS?,ICAO Annex 10,ICAO Annex 3,ICAO Annex 14,ICAO Annex 11,4,SUP
,276,Which ICAO document provides global SAR procedures and techniques?,"ICAO or IMO IAMSAR Manual, Doc 9731",ICAO Doc 8168,ICAO Doc 9859,ICAO Doc 4444,1,SUP
,277,Which Vietnamese regulation provides detailed guidance on aviation SAR operations?,Nghị định 125/2015/NĐ-CP on flight operation management,Thông tư 19/2017/TT-BGTVT on air navigation services,Decision 33/2012/QĐ-TTg on civil aviation search and rescue coordination,Circular 29/2021/TT-BGTVT on airport management,3,SUP
,278,Which Vietnamese regulation requires every airport to have an Airport Emergency Plan (AEP)?,ICAO Annex 3,ICAO Doc 4444,Decision 33/2012/QĐ-TTg on aviation SAR coordination,Circular 29/2021/TT-BGTVT on airport and aerodrome management and airport emergency planning,4,SUP
,279,What is the primary purpose of the Aeronautical Fixed Telecommunication Network (AFTN) in SAR operations?,Replacing all air-ground voice communication,Publishing long-term aerodrome development plans,"Rapid transmission of alerting, distress and SAR coordination messages between ATS, RCC or ARCC and related units",Broadcasting entertainment information to passengers,3,SUP
,280,Which message type is used to alert the ARCC of an aircraft in distress through the AFTN?,"FPL, filed flight plan message","CNL, cancellation message","CHG, change message","ALR, the alerting message",4,SUP
,281,"In SAR operations, what does the term “On-Scene Commander (OSC)” mean?",The person designated to coordinate SAR operations at the accident or distress scene,The controller responsible for all national airspace,The pilot-in-command of the nearest scheduled flight,The meteorological observer at the destination,1,SUP
,282,Minimum flight altitude ensures (according to Annex II rules of the air):,At least 300m(1000ft) above MSL.,At least 300m(1000ft) above terrain.,"At least 300m(1000ft) above highest obstacle in plain area, 600m above highest obstacle in high terrain mountainuos area.",Non of the above.,3,SUP
,283,The final vector shall enable the aircraft to be established in level flight on the final approach track prior to intercepting the specified or nominal glide path if an ILS or radar approach is to be made and should provide an intercept angle with the final approach track of …,30 degrees or less,45  degrees or less,25  degrees or less,Non of above,2,SUP
,284,"Prior to commencement of a radar approach, the aircraft shall be informed of: ","the runway to be used; the applicable obstacle clearance altitude/height; the angle of the nominal glide path and, if so prescribed by the appropriate ATS authority or requested by the aircraft, the approximate rate of descent to be maintained; the procedure to be followed in the event of radio communication failure , unless the procedure has been published in AIPs.",the runway to be used; the applicable obstacle clearance altitude/height;,"the runway to be used; the angle of the nominal glide path and, if so prescribed by the appropriate ATS authority or requested by the aircraft, the approximate rate of descent to be maintained;","the runway to be used; the procedure to be followed in the event of radio communication failure, unless the procedure has been published in AIPs.",1,SUP
,285,"When two aircraft are approaching head-on or approxiamtely so, each shall alter its heading:",To the left,To the right.,Upwards,Downwards,2,SUP
,286,"According to ICAO Doc 4444, what is the primary purpose of providing ATS surveillance services? ",Air traffic advisory service,Area control service,"Provide accurate aircraft-position information to support separation, monitoring, vectoring and traffic information",Prohibited,3,SUP
,287,Which of the following is not a recognized method for aircraft identification as per ICAO Doc 4444?,Identification solely by pilot-reported altitude or aircraft colour or visual appearance,"The remote pilot is the pilot-in-command responsible for safe operation, compliance, the C2 link and contingency procedures","SSR Mode S or ADS-B, PSR or SSR, multilateration or another approved surveillance or remote-identification system",Shall not be operated unless authorized by the appropriate ATS authority and subject to prescribed conditions,1,SUP
,288,"From sunset to sunrise, an aircraft operating on the movement area shall display:","Navigation or position lights and anti-collision lights, plus required extremity or movement lights","SSR Mode S or ADS-B, PSR or SSR, multilateration or another approved surveillance or remote-identification system","The remote pilot is the pilot-in-command responsible for safe operation, compliance, the C2 link and contingency procedures",Shall not be operated unless authorized by the appropriate ATS authority and subject to prescribed conditions,1,SUP
,289,The signal ‘series of red flashes’ directed to an aircraft in flight from aerodrome control means:,Not withstanding any other instructions do not land at the moment,"Airfield is unsafe, do not land",Return to airfield and land,Give way to another aircraft and remain in the circuit,1,SUP
,290,A steady green light to an aircraft in flight indicates:,Return for landing,Cleared to land,Give way and continue circling,"Aerodrome unsafe, do not land",2,SUP
,291,VFR flights above FL195 shall:,"The remote pilot is the pilot-in-command responsible for safe operation, compliance, the C2 link and contingency procedures",Identification solely by pilot-reported altitude or aircraft colour or visual appearance,Cleared to land,Shall not be operated unless authorized by the appropriate ATS authority and subject to prescribed conditions,4,SUP
,292,An aircraft shall not be operated in a careless or reckless manner so as to endanger life or property on the surface—this is:,Cleared to land,"The remote pilot is the pilot-in-command responsible for safe operation, compliance, the C2 link and contingency procedures",Prohibited,"SSR Mode S or ADS-B, PSR or SSR, multilateration or another approved surveillance or remote-identification system",3,SUP
,293,Interception — The signal from intercepting aircraft of ‘rocking wings and flashing navigational lights’ means:,Unable to comply,No,You are not to enter this airspace,"Understood, will comply",4,SUP
,294,What surveillance systems are recommended for tracking RPAS in controlled airspace?,Control area (CTA),"SSR Mode S or ADS-B, PSR or SSR, multilateration or another approved surveillance or remote-identification system",Class C,Restricted area,2,SUP
,295,What is the role of the remote pilot in RPAS operations?,Prohibited,Shall not be operated unless authorized by the appropriate ATS authority and subject to prescribed conditions,"The remote pilot is the pilot-in-command responsible for safe operation, compliance, the C2 link and contingency procedures","Navigation or position lights and anti-collision lights, plus required extremity or movement lights",3,SUP
,296,"In planning procedures, which bearing shall be used?","Magnetic bearings or tracks, unless otherwise specified",True bearings only,Relative bearings only,Grid bearings only,1,SUP
,297,"When procedures are designed for use in mountainous areas, MOC should be________.",The missed approach point (MAPt),"Magnetic bearings or tracks, unless otherwise specified","Increased, normally doubled where required in mountainous areas",Final approach segment,3,SUP
,298,Initial approach segment may be designed using?,The missed approach point (MAPt),"Straight-in, racetrack or reversal procedures, including RNAV T-bar or Y-bar segments where applicable",The relevant runway threshold elevation,Final approach segment,2,SUP
,299,"In an instrument approach procedure, the segment in which alignment and descent for landing are made is called________.","Increased, normally doubled where required in mountainous areas",Final approach segment,"Straight-in, racetrack or reversal procedures, including RNAV T-bar or Y-bar segments where applicable",The relevant runway threshold elevation,2,SUP
,300,"In a precision approach procedure, what is the OCH referenced to?",The relevant runway threshold elevation,Aerodrome elevation,Mean sea level,Highest obstacle elevation,1,SUP
,301,"In RNAV T-Bar and Y-Bar procedure, the missed approach segment starts with________.","Increased, normally doubled where required in mountainous areas",Final approach segment,The relevant runway threshold elevation,The missed approach point (MAPt),4,SUP
